'Away Score', 'Away3P', 'Away3PA', 'Away2P', 'Away2PA', 'AwayFT', 'AwayFTA', 'AwayORB', 'AwayDRB', 'AwayAST', 'AwaySTL', 'AwayBLK', 'AwayTOV', 'AwayPF', 'AwayPTS', 'AwayOFE', 'AwayDFE','AwayPace','Away2-P','Away0-3','Away3-10','Away10-16','Away16-3P','Away3-P','Home Score', 'Home3P', 'Home3PA', 'Home2P', 'Home2PA', 'HomeFT', 'HomeFTA', 'HomeORB', 'HomeDRB', 'HomeAST', 'HomeSTL', 'HomeBLK', 'HomeTOV', 'HomePF', 'HomePTS', 'HomeOFE', 'HomeDFE','HomePace','Home2-P','Home0-3','Home3-10','Home10-16','Home16-3P','Home3-P'
94.0,255.8,714.9100000000002,667.5800000000002,1294.9799999999998,337.1899999999999,423.1499999999999,170.29000000000002,780.1800000000002,618.4299999999998,206.64999999999998,121.95,341.55,457.43999999999994,2419.9499999999994,556.6,134.60000000000002,93.8,0.512,0.623,0.377,0.431,0.415,0.35,92.0,281.41,778.9300000000001,818.6799999999998,1658.4800000000002,509.29999999999995,659.1999999999999,290.83000000000004,1118.0800000000002,606.4399999999999,201.06,163.26000000000002,344.8399999999999,556.0500000000001,2995.0299999999993,618.3999999999999,165.20000000000002,92.9,0.479,0.599,0.394,0.383,0.397,0.362
95.0,138.24999999999997,388.45,769.83,1527.8199999999995,366.8500000000001,461.2,224.75999999999996,799.08,604.2500000000001,178.91999999999996,135.63,305.93999999999994,414.77,2323.6000000000004,587.7999999999998,154.39999999999998,98.5,0.515,0.667,0.452,0.44,0.421,0.375,87.0,204.82000000000002,631.6100000000001,749.7499999999999,1558.19,513.92,641.93,286.45,837.54,644.35,231.12000000000006,103.87999999999998,345.6500000000001,540.4300000000001,2621.1400000000003,546.5999999999998,127.90000000000003,99.3,0.483,0.624,0.355,0.378,0.373,0.335
89.0,250.62999999999997,736.73,717.28,1392.99,395.66999999999996,637.3000000000001,340.4,920.0600000000002,494.9299999999999,270.27,150.63999999999996,379.23999999999995,642.0,2592.05,543.5999999999999,137.60000000000002,93.6,0.514,0.651,0.356,0.4,0.379,0.347,109.0,213.18999999999997,631.86,1093.9000000000003,2134.6200000000003,552.0500000000001,736.6599999999999,326.5900000000001,1077.3999999999999,810.7099999999999,258.77,205.64,487.37,658.77,3364.9899999999993,664.4,161.39999999999998,94.3,0.508,0.663,0.422,0.407,0.401,0.336
87.0,160.52,488.17,964.39,1957.3999999999999,500.02000000000004,680.73,300.71999999999997,978.3500000000003,754.0,244.88,170.12,466.53,645.7399999999998,2900.6799999999994,558.8,134.5,98.5,0.495,0.617,0.402,0.397,0.387,0.345,106.0,207.26999999999998,561.32,794.7199999999998,1663.05,537.98,694.82,304.19000000000005,921.46,403.6400000000001,202.35999999999999,146.83,301.0900000000001,533.15,2741.9300000000003,511.19999999999993,151.29999999999998,95.2,0.483,0.624,0.409,0.394,0.374,0.37
87.0,219.9,629.2500000000001,931.1699999999998,1893.0900000000001,436.34000000000003,588.53,331.50000000000006,980.03,691.01,229.54,135.13,386.5400000000001,597.7299999999999,2962.3699999999994,611.6,142.0,93.4,0.492,0.609,0.422,0.409,0.409,0.35,92.0,230.73999999999998,595.38,851.9600000000002,1865.91,398.54999999999995,516.1999999999999,346.16999999999996,1091.67,667.7400000000001,163.47,185.43,406.94,576.8100000000001,2778.21,576.4,158.79999999999998,93.3,0.464,0.573,0.391,0.4,0.398,0.371
93.0,255.39000000000001,762.6800000000001,918.07,1905.7700000000004,496.42,686.8999999999999,341.63,990.12,785.0900000000001,245.99,156.29999999999998,474.05999999999995,689.5799999999999,3094.7499999999995,656.1999999999998,143.29999999999998,98.5,0.482,0.586,0.389,0.373,0.397,0.338,117.0,184.32999999999998,543.74,759.66,1499.02,424.48,577.4799999999998,330.77000000000004,826.4499999999999,595.69,189.08999999999997,150.72000000000003,378.5899999999999,521.87,2501.7999999999997,516.0,117.60000000000001,93.3,0.524,0.626,0.438,0.478,0.41,0.349
103.0,236.75999999999996,670.9200000000001,798.1199999999999,1598.5400000000002,498.16999999999996,627.3599999999998,265.63999999999993,947.48,647.6899999999999,174.48999999999998,101.63,352.2100000000001,516.9499999999999,2801.4100000000003,606.6,144.79999999999998,97.1,0.495,0.656,0.369,0.431,0.412,0.344,93.0,209.23,689.0999999999998,677.84,1525.39,543.67,692.6,272.84999999999997,875.22,474.1199999999999,191.34,116.03,344.12999999999994,538.26,2540.3900000000003,484.0000000000001,128.09999999999997,95.1,0.454,0.59,0.403,0.369,0.358,0.317
107.0,364.4200000000001,1010.36,955.0100000000001,1854.14,554.72,730.43,324.5799999999999,1087.8400000000001,794.3700000000002,228.81999999999996,115.41,433.37000000000006,624.21,3551.7799999999997,696.1999999999999,132.00000000000003,95.8,0.514,0.658,0.391,0.378,0.438,0.362,100.0,271.2699999999999,815.0799999999999,856.37,1771.6699999999998,511.32000000000005,753.9000000000002,312.96000000000004,1028.15,562.9800000000001,245.31,195.52,510.7000000000001,690.0300000000001,3026.2400000000002,590.8,159.60000000000002,95.7,0.476,0.628,0.341,0.361,0.338,0.339
103.0,160.52,488.17,964.39,1957.3999999999999,500.02000000000004,680.73,300.71999999999997,978.3500000000003,754.0,244.88,170.12,466.53,645.7399999999998,2900.6799999999994,558.8,134.5,98.5,0.495,0.617,0.402,0.397,0.387,0.345,96.0,188.46,552.2900000000001,1093.5100000000002,2256.18,574.0099999999999,735.9100000000001,353.84,1073.2099999999998,743.3799999999998,260.68,155.14,478.94999999999993,612.7400000000001,3333.5799999999995,659.1999999999999,168.89999999999998,96.7,0.481,0.608,0.425,0.404,0.392,0.352
94.0,138.24999999999997,388.45,769.83,1527.8199999999995,366.8500000000001,461.2,224.75999999999996,799.08,604.2500000000001,178.91999999999996,135.63,305.93999999999994,414.77,2323.6000000000004,587.7999999999998,154.39999999999998,98.5,0.515,0.667,0.452,0.44,0.421,0.375,84.0,179.69,500.23999999999995,645.3199999999998,1356.9099999999999,347.52,430.29999999999995,234.64,757.78,444.51000000000005,130.96,139.54,277.93,469.79999999999995,2176.38,480.20000000000005,108.60000000000002,100.0,0.471,0.585,0.425,0.407,0.412,0.346
