Season,Team,Pace,2P,0-3,3-10,10-16,16-3P,3P
2011,Los Angeles Clippers,87.9,0.484,0.656,0.404,0.406,0.376,0.365
2011,Los Angeles Lakers,91.7,0.469,0.627,0.391,0.385,0.396,0.335
2011,Memphis Grizzlies,88.7,0.486,0.664,0.368,0.398,0.393,0.369
2011,Miami Heat,95.6,0.462,0.592,0.406,0.399,0.377,0.345
2011,Milwaukee Bucks,89.8,0.476,0.614,0.394,0.41,0.396,0.334
2011,Minnesota Timberwolves,94.4,0.499,0.669,0.392,0.391,0.41,0.374
2011,New Jersey Nets,89.3,0.492,0.633,0.409,0.409,0.422,0.364
2011,New Orleans Hornets,94.7,0.49,0.685,0.409,0.384,0.387,0.357
2011,New York Knicks,91.0,0.499,0.653,0.372,0.405,0.445,0.372
2011,Oklahoma City Thunder,94.8,0.481,0.65,0.371,0.377,0.395,0.361
2011,Orlando Magic,92.8,0.461,0.633,0.402,0.395,0.378,0.35
2011,Philadelphia 76ers,89.2,0.48,0.647,0.371,0.38,0.417,0.34
2011,Phoenix Suns,89.6,0.502,0.69,0.403,0.437,0.418,0.367
2011,Portland Trail Blazers,95.2,0.497,0.637,0.399,0.41,0.418,0.367
2011,Sacramento Kings,89.9,0.508,0.714,0.382,0.421,0.429,0.355
2011,San Antonio Spurs,92.9,0.477,0.628,0.41,0.413,0.401,0.367
2011,Toronto Raptors,96.5,0.511,0.644,0.437,0.389,0.396,0.376
2011,Utah Jazz,93.8,0.486,0.64,0.396,0.391,0.41,0.376
2011,Washington Wizards,93.0,0.499,0.693,0.344,0.417,0.394,0.373
2012,Atlanta Hawks,89.1,0.47,0.627,0.385,0.353,0.377,0.344
2012,Boston Celtics,92.9,0.449,0.599,0.354,0.352,0.353,0.308
2012,Charlotte Bobcats,93.0,0.506,0.637,0.394,0.393,0.4,0.356
2012,Chicago Bulls,91.2,0.442,0.569,0.382,0.385,0.366,0.325
2012,Cleveland Cavaliers,89.7,0.498,0.652,0.4,0.396,0.398,0.362
2012,Dallas Mavericks,90.2,0.466,0.654,0.336,0.367,0.375,0.346
2012,Denver Nuggets,90.7,0.483,0.629,0.351,0.373,0.426,0.383
2012,Detroit Pistons,93.2,0.492,0.636,0.401,0.387,0.4,0.355
2012,Golden State Warriors,94.2,0.48,0.627,0.39,0.376,0.406,0.365
2012,Houston Rockets,90.4,0.491,0.669,0.378,0.395,0.399,0.325
2012,Indiana Pacers,89.2,0.461,0.605,0.387,0.403,0.358,0.351
2012,Los Angeles Clippers,90.8,0.474,0.65,0.409,0.389,0.353,0.365
2012,Los Angeles Lakers,90.5,0.463,0.633,0.358,0.39,0.384,0.348
2012,Memphis Grizzlies,91.4,0.474,0.624,0.374,0.408,0.359,0.345
2012,Miami Heat,89.0,0.457,0.582,0.372,0.385,0.381,0.363
2012,Milwaukee Bucks,91.4,0.478,0.604,0.391,0.393,0.396,0.351
2012,Minnesota Timberwolves,93.7,0.486,0.643,0.397,0.397,0.393,0.34
2012,New Jersey Nets,91.7,0.5,0.643,0.441,0.384,0.389,0.374
2012,New Orleans Hornets,92.6,0.489,0.658,0.397,0.377,0.369,0.317
2012,New York Knicks,91.2,0.468,0.635,0.341,0.38,0.38,0.359
2012,Oklahoma City Thunder,93.3,0.451,0.614,0.328,0.352,0.375,0.342
2012,Orlando Magic,92.3,0.478,0.639,0.396,0.401,0.406,0.347
2012,Philadelphia 76ers,89.3,0.45,0.62,0.361,0.382,0.384,0.334
2012,Phoenix Suns,88.3,0.481,0.672,0.389,0.428,0.38,0.352
2012,Portland Trail Blazers,92.5,0.492,0.649,0.378,0.396,0.405,0.363
2012,Sacramento Kings,89.2,0.51,0.7,0.409,0.399,0.398,0.355
2012,San Antonio Spurs,94.7,0.478,0.631,0.394,0.393,0.418,0.353
2012,Toronto Raptors,90.1,0.469,0.607,0.366,0.391,0.391,0.328
2012,Utah Jazz,91.3,0.488,0.663,0.366,0.425,0.403,0.34
2012,Washington Wizards,91.1,0.483,0.662,0.313,0.402,0.411,0.35
2013,Atlanta Hawks,93.3,0.473,0.606,0.375,0.398,0.394,0.379
2013,Boston Celtics,90.7,0.472,0.626,0.38,0.352,0.355,0.342
2013,Brooklyn Nets,91.1,0.49,0.641,0.414,0.412,0.389,0.366
2013,Charlotte Bobcats,94.2,0.502,0.623,0.401,0.395,0.392,0.388
2013,Chicago Bulls,95.1,0.467,0.614,0.381,0.398,0.377,0.346
2013,Cleveland Cavaliers,89.8,0.511,0.663,0.397,0.416,0.406,0.372
2013,Dallas Mavericks,88.4,0.475,0.607,0.378,0.379,0.409,0.359
2013,Denver Nuggets,90.2,0.474,0.585,0.364,0.414,0.418,0.363
2013,Detroit Pistons,96.1,0.492,0.649,0.373,0.396,0.375,0.36
2013,Golden State Warriors,88.8,0.473,0.649,0.377,0.393,0.38,0.347
2013,Houston Rockets,94.4,0.484,0.659,0.374,0.415,0.392,0.368
2013,Indiana Pacers,94.5,0.444,0.57,0.353,0.369,0.414,0.327
2013,Los Angeles Clippers,92.6,0.468,0.627,0.387,0.376,0.377,0.373
2013,Los Angeles Lakers,89.3,0.483,0.639,0.398,0.391,0.389,0.357
2013,Memphis Grizzlies,90.9,0.465,0.633,0.339,0.389,0.37,0.338
2013,Miami Heat,91.7,0.473,0.601,0.387,0.387,0.376,0.35
2013,Milwaukee Bucks,94.1,0.483,0.609,0.365,0.39,0.399,0.348
2013,Minnesota Timberwolves,94.7,0.498,0.663,0.415,0.395,0.386,0.369
2013,New Orleans Hornets,90.4,0.505,0.648,0.366,0.388,0.432,0.374
2013,New York Knicks,92.8,0.498,0.671,0.34,0.402,0.393,0.357
2013,Oklahoma City Thunder,92.2,0.452,0.597,0.345,0.377,0.362,0.346
2013,Orlando Magic,91.4,0.498,0.643,0.401,0.419,0.405,0.359
2013,Philadelphia 76ers,91.0,0.487,0.638,0.362,0.41,0.417,0.349
2013,Phoenix Suns,90.8,0.492,0.64,0.385,0.406,0.41,0.388
